seed,iteration,evaluation_number,candidate_key,learning_rate,batch_size,dropout,optimizer,status,best_val_dice,best_val_iou,epochs_completed,candidate_time_seconds,timestamp_utc,method
42,1.0,1,528cef7a8e10,0.0005,8,0.1,adam,completed,0.3169482350349426,0.1886552721261978,1,67.42021478999999,2026-08-27T15:14:24.653720,NFC-ACO
42,1.0,2,e166db52a925,1e-05,4,0.1,rmsprop,completed,0.318069577217102,0.189449742436409,1,62.991983911000034,2026-08-27T15:15:32.802745,NFC-ACO
42,1.0,3,366ecd325f50,0.0001,4,0.1,adam,completed,0.4338102340698242,0.2791276574134826,5,63.12834218900002,2026-08-27T15:19:50.604613,NFC-ACO
42,1.0,4,1e3db20a63ac,1e-05,4,0.2,rmsprop,completed,0.4063746035099029,0.2556314170360565,5,43.25185167500001,2026-08-27T15:20:54.849106,NFC-ACO
42,2.0,5,c06345eaf7f3,1e-05,4,0.2,adam,completed,0.3712257742881775,0.2283153086900711,5,48.80621234099999,2026-08-27T15:21:39.139382,NFC-ACO
42,2.0,6,4777caa2bf2a,0.0005,4,0.0,rmsprop,completed,0.420252650976181,0.266895592212677,4,33.04053864499997,2026-08-27T15:22:29.153789,NFC-ACO
42,2.0,7,dc0cf45b1427,0.0001,8,0.1,rmsprop,completed,0.3404579758644104,0.2052646428346634,3,98.491327265,2026-08-27T15:23:03.432797,NFC-ACO
42,2.0,8,a79f9e3c3f8c,1e-05,8,0.1,adam,completed,0.3392547070980072,0.2043934613466262,3,57.464923751000015,2026-08-27T15:24:43.278748,NFC-ACO
42,3.0,9,1366f774957a,5e-05,4,0.2,adam,completed,0.3406919240951538,0.2056890279054641,4,46.24098463600001,2026-08-27T15:25:42.676881,NFC-ACO
42,3.0,10,04efb257c42b,1e-05,4,0.0,adam,completed,0.4015568792819977,0.2516252994537353,5,44.54283709700008,2026-08-27T15:26:30.553211,NFC-ACO
42,3.0,11,b922c31e5176,0.0001,4,0.0,adam,completed,0.4268426299095154,0.271883487701416,5,41.80314545300007,2026-08-27T15:27:16.942684,NFC-ACO
42,3.0,12,2740a8d7fbc5,5e-05,4,0.1,rmsprop,completed,0.5350772142410278,0.3663818538188934,5,45.20364722399995,2026-08-27T15:28:01.056871,NFC-ACO
123,1.0,1,1d74eabffce7,1e-05,8,0.1,rmsprop,completed,0.3363177478313446,0.2023709565401077,3,52.14203875900012,2026-08-27T15:28:48.379733,NFC-ACO
123,1.0,2,528cef7a8e10,0.0005,8,0.1,adam,completed,0.4003466665744781,0.2508736848831177,4,62.97367112899997,2026-08-27T15:29:42.602332,NFC-ACO
123,1.0,3,177ce32fea3c,0.0005,8,0.0,rmsprop,completed,0.4333806931972503,0.2773099541664123,5,45.7468664779999,2026-08-27T15:30:48.346793,NFC-ACO
123,1.0,4,703e9c7372ae,0.0005,4,0.1,adam,completed,0.3933111131191253,0.2456250935792923,3,43.28551642099978,2026-08-27T15:31:36.411147,NFC-ACO
123,2.0,5,b0511de8d371,0.0005,8,0.0,adam,completed,0.3354038000106811,0.2017292231321334,3,60.55554537400008,2026-08-27T15:32:22.503497,NFC-ACO
123,2.0,6,324e5494f436,0.0001,4,0.2,adam,completed,0.3525319993495941,0.2146492004394531,4,46.61319752500003,2026-08-27T15:33:25.715764,NFC-ACO
123,2.0,7,5c8e3a7c4d59,0.0005,8,0.1,rmsprop,completed,0.4727102816104889,0.3103647232055664,5,60.066441583999904,2026-08-27T15:34:15.127879,NFC-ACO
123,2.0,8,179cc17f5742,5e-05,4,0.1,adam,completed,0.3269643187522888,0.1957942843437194,4,47.29705168599981,2026-08-27T15:35:18.682029,NFC-ACO
123,3.0,9,8cf0b21d774a,0.0005,8,0.2,rmsprop,completed,0.3243981897830963,0.1938253194093704,3,53.2268537110001,2026-08-27T15:36:09.120564,NFC-ACO
123,3.0,10,4777caa2bf2a,0.0005,4,0.0,rmsprop,completed,0.3533373475074768,0.2157459259033203,4,35.34292890400002,2026-08-27T15:37:05.572302,NFC-ACO
123,3.0,11,b5968585ff53,0.0005,4,0.1,rmsprop,completed,0.4894649386405945,0.3252211213111877,5,47.753149899999926,2026-08-27T15:37:44.226173,NFC-ACO
123,3.0,12,7156d7f1c264,0.0005,4,0.0,adam,completed,0.5299991369247437,0.3615607917308807,5,44.57044971599999,2026-08-27T15:38:35.431270,NFC-ACO
2026,1.0,1,a79f9e3c3f8c,1e-05,8,0.1,adam,completed,0.3350573182106018,0.2013129889965057,3,60.43066034399999,2026-08-27T15:39:24.186541,NFC-ACO
2026,1.0,2,b5968585ff53,0.0005,4,0.1,rmsprop,completed,0.497188001871109,0.3318156599998474,5,46.70742015499991,2026-08-27T15:40:28.196656,NFC-ACO
2026,1.0,3,528cef7a8e10,0.0005,8,0.1,adam,completed,0.3251762092113495,0.1942225694656372,3,60.74328642199998,2026-08-27T15:41:18.648622,NFC-ACO
2026,1.0,4,179cc17f5742,5e-05,4,0.1,adam,completed,0.3340959548950195,0.2007714062929153,3,43.76149900699989,2026-08-27T15:42:23.909496,NFC-ACO
2026,2.0,5,5c8e3a7c4d59,0.0005,8,0.1,rmsprop,completed,0.3259228765964508,0.1948042213916778,5,63.933110485999805,2026-08-27T15:43:11.692213,NFC-ACO
2026,2.0,6,b922c31e5176,0.0001,4,0.0,adam,completed,0.4521332681179046,0.2932528853416443,5,46.02708392700015,2026-08-27T15:44:19.813392,NFC-ACO
2026,2.0,7,be2eaebb20c4,1e-05,8,0.2,adam,completed,0.3364074528217315,0.2022890746593475,3,63.84667913899966,2026-08-27T15:45:10.370705,NFC-ACO
2026,2.0,8,2153497ca9df,1e-05,4,0.1,adam,completed,0.3254016041755676,0.1945097744464874,3,46.32531602699965,2026-08-27T15:46:19.155519,NFC-ACO
